architecture,scheme,checkpoint_role,T,phase,reference_kind,state_layer_name,K,layer_index,injected_beta,base_beta,model_seed,source_checkpoint_epoch,batch_count,element_count,delta_mean,delta_rms,delta_std,reference_mean,reference_rms,reference_std,current_mean,current_rms,current_std,relative_displacement,reference_norm_zero,max_abs_delta,reference_min,reference_max,current_min,current_max,active_set_transition_count,constrained_element_count,active_set_transition_fraction,batch_p05_delta_rms,batch_median_delta_rms,batch_p95_delta_rms,batch_p05_relative,batch_median_relative,batch_p95_relative
conv3,legacy,best_validation,16,negative,matched_zero_K,Layer_3,8,3,0.001,2.44140625e-07,0,27,36,7225344,3.080348737205808e-10,8.633697751646958e-07,8.63369720214031e-07,-0.035007060340082836,0.48681484009448006,0.48555452244064207,-0.03500706003204796,0.48681483034140227,0.48555451268445743,1.7735075105704146e-06,False,0.00016614844761320136,-9.600793196839316,9.032977417687828,-9.600810875130831,9.03297938324305,0,7225344,0.0,4.833827394320307e-07,7.70661696873962e-07,1.2859495369856416e-06,9.677079718475578e-07,1.6043492995796965e-06,2.6205990701108865e-06
conv3,legacy,best_validation,16,negative,matched_zero_K,Layer_4,8,4,0.001,2.44140625e-07,0,27,36,11520,1.844571091567855e-05,0.007874015371494696,0.00787399376595407,-0.11732154321739749,0.39288266191368637,0.3749565861929516,-0.11730309750648181,0.39277795071046906,0.3748526402197275,0.02004164636113304,False,0.12346047607963401,-1.7140163927593648,2.2003202520552763,-1.7165819565811575,2.2354236614485186,0,0,,0.004792466959084212,0.0071184441052213766,0.011657848890108402,0.01083379372194392,0.017713608912175605,0.03323191292551974
conv3,legacy,best_validation,16,positive,post_T_free,Layer_1,8,1,0.001,2.44140625e-07,0,27,36,7225344,-6.643734906967608e-13,2.402182526024403e-10,2.402173338692166e-10,-1.191808760960837,24.851043594331664,24.82244870283087,-1.1918087609615011,24.851043594332683,24.82244870283186,9.666324542492544e-12,False,2.732582515818649e-08,-212.74690345729488,192.59281716522588,-212.74690345734737,192.5928171654353,0,7225344,0.0,1.1656413991125967e-10,2.0279089841393182e-10,4.1242201193312587e-10,4.848276951247169e-12,8.2469871898703e-12,1.675525874158536e-11
conv3,legacy,best_validation,16,positive,post_T_free,Layer_2,8,2,0.001,2.44140625e-07,0,27,36,3612672,-1.3059554229314207e-11,6.468410293818574e-09,6.468397110352875e-09,-0.07911287195966787,4.530963059654975,4.530272331929756,-0.07911287197272743,4.530963059709479,4.5302723319840394,1.4276016397960067e-09,False,7.633158856101829e-07,-56.17016178240903,54.97976090243299,-56.17016179472354,54.979760901324646,0,3612672,0.0,3.3533094160766164e-09,5.862342711062295e-09,9.599238103847866e-09,7.448377283212641e-10,1.3624895458291913e-09,2.1017836964914072e-09
conv3,legacy,best_validation,16,positive,post_T_free,Layer_3,8,3,0.001,2.44140625e-07,0,27,36,7225344,-3.076604598076063e-10,8.633703440600716e-07,8.633702892429459e-07,-0.035007060340082836,0.48681484009448006,0.48555452244064207,-0.035007060647743296,0.4868148498490854,0.4855545321983853,1.7735086791777146e-06,False,0.0001661484476234154,-9.600793196839316,9.032977417687828,-9.60077551854782,9.032975452132606,1,7225344,1.3840171485260771e-07,4.833827394156459e-07,7.706616968945558e-07,1.2859495369900862e-06,9.67707971815241e-07,1.6043492995858707e-06,2.6205990701199515e-06
conv3,legacy,best_validation,16,positive,post_T_free,Layer_4,8,4,0.001,2.44140625e-07,0,27,36,11520,-1.8445709448259468e-05,0.007874015372999702,0.00787399376746252,-0.11732154321739749,0.39288266191368637,0.3749565861929516,-0.11733998892684575,0.39314507975638346,0.3752257730157949,0.020041646364963722,False,0.12346047607963395,-1.7140163927593648,2.200320252055275,-1.7114508289375714,2.1652168426620353,0,0,,0.004792466959084195,0.007118444105221347,0.011657848890108423,0.01083379372194395,0.017713608912175695,0.0332319129255198
conv3,legacy,best_validation,16,positive,matched_zero_K,Layer_1,8,1,0.001,2.44140625e-07,0,27,36,7225344,-6.643735513885836e-13,2.4021825272950513e-10,2.402173339961141e-10,-1.191808760960837,24.851043594331664,24.82244870283087,-1.1918087609615011,24.851043594332683,24.82244870283186,9.666324547605603e-12,False,2.732582515818649e-08,-212.74690345729488,192.59281716522588,-212.74690345734737,192.5928171654353,0,7225344,0.0,1.1656413991489642e-10,2.0279089841316534e-10,4.1242201194055043e-10,4.848276951406152e-12,8.246987189881781e-12,1.6755258741892803e-11
conv3,legacy,best_validation,16,positive,matched_zero_K,Layer_2,8,2,0.001,2.44140625e-07,0,27,36,3612672,-1.3059554310559099e-11,6.468410293919934e-09,6.468397110454071e-09,-0.07911287195966787,4.530963059654975,4.530272331929756,-0.07911287197272743,4.530963059709479,4.5302723319840394,1.4276016398183772e-09,False,7.633158856101829e-07,-56.17016178240903,54.97976090243299,-56.17016179472354,54.979760901324646,0,3612672,0.0,3.3533094160741323e-09,5.86234271107931e-09,9.599238103856531e-09,7.448377283207001e-10,1.3624895458311203e-09,2.101783696501912e-09
conv3,legacy,best_validation,16,positive,matched_zero_K,Layer_3,8,3,0.001,2.44140625e-07,0,27,36,7225344,-3.076604603356728e-10,8.633703440601657e-07,8.633702892430397e-07,-0.035007060340082836,0.48681484009448006,0.48555452244064207,-0.035007060647743296,0.4868148498490854,0.4855545321983853,1.7735086791779075e-06,False,0.0001661484476234154,-9.600793196839316,9.032977417687828,-9.60077551854782,9.032975452132606,1,7225344,1.3840171485260771e-07,4.833827394156846e-07,7.706616968944518e-07,1.2859495369901122e-06,9.67707971815317e-07,1.6043492995856289e-06,2.6205990701200053e-06
conv3,legacy,best_validation,16,positive,matched_zero_K,Layer_4,8,4,0.001,2.44140625e-07,0,27,36,11520,-1.8445709448262985e-05,0.007874015372999704,0.00787399376746252,-0.11732154321739749,0.39288266191368637,0.3749565861929516,-0.11733998892684575,0.39314507975638346,0.3752257730157949,0.020041646364963722,False,0.12346047607963395,-1.7140163927593648,2.2003202520552763,-1.7114508289375714,2.1652168426620353,0,0,,0.004792466959084195,0.007118444105221348,0.011657848890108421,0.01083379372194395,0.017713608912175695,0.03323191292551981
conv3,legacy,best_validation,16,positive_minus_negative,negative_phase,Layer_1,8,1,0.001,2.44140625e-07,0,27,36,7225344,-1.3296494383573842e-12,4.804368984676747e-10,4.804350585059441e-10,-1.1918087609601717,24.851043594330644,24.822448702829877,-1.1918087609615011,24.851043594332683,24.82244870283186,1.933266490978586e-11,False,5.465165031637298e-08,-212.74690345724233,192.59281716501644,-212.74690345734737,192.5928171654353,0,7225344,0.0,2.331282828369521e-10,4.0558177721476565e-10,8.248440153755222e-10,9.696554022330929e-12,1.6493973957719305e-11,3.351051714275069e-11
conv3,legacy,best_validation,16,positive_minus_negative,negative_phase,Layer_2,8,2,0.001,2.44140625e-07,0,27,36,3612672,-2.6134417524032248e-11,1.29368265181561e-08,1.2936800120319072e-08,-0.079112871946593,4.53096305960047,4.53027233187547,-0.07911287197272743,4.530963059709479,4.5302723319840394,2.8552045885134276e-09,False,1.5266317726636558e-06,-56.1701617700945,54.9797609035413,-56.17016179472354,54.979760901324646,0,3612672,0.0,6.706618833970595e-09,1.1724806182964775e-08,1.919847618212503e-08,1.489675457171043e-09,2.72500798531504e-09,4.2035673930995206e-09
conv3,legacy,best_validation,16,positive_minus_negative,negative_phase,Layer_3,8,3,0.001,2.44140625e-07,0,27,36,7225344,-6.156953340562538e-10,1.726739834140036e-06,1.7267397243722674e-06,-0.03500706003204796,0.48681483034140227,0.48555451268445743,-0.035007060647743296,0.4868148498490854,0.4855545321983853,3.547015675198466e-06,False,0.00033229689523661676,-9.600810875130831,9.03297938324305,-9.60077551854782,9.032975452132606,1,7225344,1.3840171485260771e-07,9.667654788477152e-07,1.5413233937684137e-06,2.571899073975754e-06,1.935415929149436e-06,3.2086987736167382e-06,5.241198133900103e-06
