architecture,scheme,beta,checkpoint_role,estimator,parameter_name,mean_squared_norm_fraction,minimum_squared_norm_fraction,maximum_squared_norm_fraction
conv3,baseline,10,reconstructed_initialization,eqprop,DenseWeight_0,0.9976555048587158,0.994792427224652,0.9989805798449944
conv3,baseline,10,best_validation,bptt,ConvWeight_0,0.00022037862047392086,4.624683980839651e-05,0.0007971774676922616
conv3,baseline,10,best_validation,bptt,ConvWeight_1,0.007162708193139157,0.003915016473504328,0.013657278487225696
conv3,baseline,10,best_validation,bptt,ConvWeight_2,0.885447956358052,0.840901493332441,0.9139159350941798
conv3,baseline,10,best_validation,bptt,DenseWeight_0,0.10716895682833508,0.07932649122337876,0.1549750872290059
conv3,baseline,10,best_validation,eqprop,ConvWeight_0,0.00022034341203742354,4.6262261512732224e-05,0.0007969140314176719
conv3,baseline,10,best_validation,eqprop,ConvWeight_1,0.007162411045661851,0.003911754160395505,0.013658558523219249
conv3,baseline,10,best_validation,eqprop,ConvWeight_2,0.8854454682843145,0.840885802414775,0.913924655170815
conv3,baseline,10,best_validation,eqprop,DenseWeight_0,0.10717177725798616,0.07931760784573584,0.15499431401535171
conv3,ours,3,reconstructed_initialization,bptt,ConvWeight_0,0.001059751222362042,7.987821222100586e-05,0.0033817639431218717
conv3,ours,3,reconstructed_initialization,bptt,ConvWeight_1,0.00026218799838839555,0.0001514677068887008,0.00041346934211960014
conv3,ours,3,reconstructed_initialization,bptt,ConvWeight_2,0.0009079252575437932,0.000743855455528868,0.0010400854526524644
conv3,ours,3,reconstructed_initialization,bptt,DenseWeight_0,0.997770135521706,0.9953272308566022,0.9989857983924061
conv3,ours,3,reconstructed_initialization,eqprop,ConvWeight_0,0.0010387010021467326,7.907394282054851e-05,0.0035264824280999696
conv3,ours,3,reconstructed_initialization,eqprop,ConvWeight_1,0.0002580913429628443,0.0001494021819864138,0.0004177727236391298
conv3,ours,3,reconstructed_initialization,eqprop,ConvWeight_2,0.0008982945909515616,0.0007393154448566039,0.0010272523282267084
conv3,ours,3,reconstructed_initialization,eqprop,DenseWeight_0,0.9978049130639389,0.9951945536466379,0.9989911152928487
conv3,ours,3,best_validation,bptt,ConvWeight_0,0.001034012200217005,0.00011340052645673546,0.0030305343053725078
conv3,ours,3,best_validation,bptt,ConvWeight_1,0.014200668156208018,0.006413814310478219,0.032103098004250055
conv3,ours,3,best_validation,bptt,ConvWeight_2,0.21195584418264984,0.13109323617629767,0.2780141086810099
conv3,ours,3,best_validation,bptt,DenseWeight_0,0.7728094754609252,0.6886500391146331,0.8595586374574277
conv3,ours,3,best_validation,eqprop,ConvWeight_0,0.0010389419882504936,0.00011347304634333424,0.0030311109943151177
conv3,ours,3,best_validation,eqprop,ConvWeight_1,0.014225553728910755,0.006506903773393376,0.03207223627578876
conv3,ours,3,best_validation,eqprop,ConvWeight_2,0.2117165019402875,0.13110125947795417,0.27778486373485367
conv3,ours,3,best_validation,eqprop,DenseWeight_0,0.7730190023425513,0.6889333882240875,0.8594325184206631
conv3,legacy,0.001,reconstructed_initialization,bptt,ConvWeight_0,0.0009330084244760575,0.00011717726687406207,0.003238120041220718
conv3,legacy,0.001,reconstructed_initialization,bptt,ConvWeight_1,0.00024707264645023577,0.00014731230748162025,0.0003885509739787299
conv3,legacy,0.001,reconstructed_initialization,bptt,ConvWeight_2,0.0009196186013216074,0.0007504049085386909,0.0010870456827054233
conv3,legacy,0.001,reconstructed_initialization,bptt,DenseWeight_0,0.9979003003277521,0.9955022960947161,0.9988733357710959
conv3,legacy,0.001,reconstructed_initialization,eqprop,ConvWeight_0,0.0009327487368601514,0.0001167644938664818,0.003237846382661495
conv3,legacy,0.001,reconstructed_initialization,eqprop,ConvWeight_1,0.0002470689281126033,0.0001472717691018477,0.0003884740813925334
conv3,legacy,0.001,reconstructed_initialization,eqprop,ConvWeight_2,0.000919595913342907,0.0007503772882565397,0.0010870285308047748
conv3,legacy,0.001,reconstructed_initialization,eqprop,DenseWeight_0,0.9979005864216846,0.9955025627773609,0.9988732851221982
conv3,legacy,0.001,best_validation,bptt,ConvWeight_0,0.00030502513923390875,4.153713674704687e-05,0.0011023525326387855
conv3,legacy,0.001,best_validation,bptt,ConvWeight_1,0.0029088326441532872,0.0013240155958843508,0.005113974449784507
conv3,legacy,0.001,best_validation,bptt,ConvWeight_2,0.022696580537621705,0.015844918815158544,0.031336889032512735
conv3,legacy,0.001,best_validation,bptt,DenseWeight_0,0.9740895616789911,0.963219854972962,0.9827046457977241
conv3,legacy,0.001,best_validation,eqprop,ConvWeight_0,0.0003050425440483374,4.153886153250634e-05,0.0011023408547658215
conv3,legacy,0.001,best_validation,eqprop,ConvWeight_1,0.002908832171237299,0.001324015207528577,0.005113974472962078
conv3,legacy,0.001,best_validation,eqprop,ConvWeight_2,0.022696507622143713,0.015844918807355286,0.03133688880402834
conv3,legacy,0.001,best_validation,eqprop,DenseWeight_0,0.9740896176625706,0.9632198477806948,0.9827046441287965
