architecture,scheme,beta,anchor,factor,checkpoint_role,layerwise_cosine,whole_gradient_cosine,layerwise_norm_delta,whole_gradient_norm_delta,residual_passed,state,result_directory
conv3,legacy,1e-05,0.001,0.01,best_validation,0.9923741828599915,0.9999996218071988,0.01266075313108422,1.1085603693369527e-06,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_legacy_beta1e-05
conv3,legacy,3e-05,0.001,0.03,reconstructed_initialization,0.9999962870615274,0.9999999995076694,0.0001108027052162026,2.6318747887717104e-07,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_legacy_beta3e-05
conv3,legacy,3e-05,0.001,0.03,best_validation,0.9990691302617374,0.9999999582576461,0.0026343756806302804,3.3178171550908633e-07,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_legacy_beta3e-05
conv3,legacy,0.0001,0.001,0.1,reconstructed_initialization,0.9999992527156952,0.9999999988880133,0.0006303366483981891,1.1408260356504335e-06,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_legacy_beta0p0001
conv3,legacy,0.0001,0.001,0.1,best_validation,0.9999219473312735,0.9999999959762542,0.00037079871632033663,1.3517896739669426e-07,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_legacy_beta0p0001
conv3,legacy,0.0003,0.001,0.3,reconstructed_initialization,0.9999932162355959,0.9999999901660481,0.0011211837581387497,1.1231516073335031e-06,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_legacy_beta0p0003
conv3,legacy,0.0003,0.001,0.3,best_validation,0.999991245851437,0.9999999440227246,0.00032244415191752193,5.544718887073958e-07,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_legacy_beta0p0003
conv3,legacy,0.001,0.001,1,reconstructed_initialization,0.9999609247113058,0.9999999753424724,0.003262728988660905,3.725949269585139e-06,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_legacy_beta0p001
conv3,legacy,0.001,0.001,1,best_validation,0.999990491048787,0.9999997679693187,0.0006376981663916755,1.0325325488330395e-06,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_legacy_beta0p001
conv3,legacy,0.002,0.001,2,reconstructed_initialization,0.9999494080898782,0.9999999657589257,0.005469209078684912,7.482668859208271e-06,True,complete,results/eqprop-beta-rule-comparison-20260918-v1/production/conv3_legacy_beta0p002
