audit_phase,model_seed,injected_beta,checkpoint_role,cohort,parameter_name,count,min_cosine,p05_cosine,median_cosine,max_norm_delta,failed
confirmation,0,10.0,best_validation,confirmation,ConvWeight_1,32,0.9999370121112762,0.9999837509554086,0.9999999817667238,0.0016422356606708634,0
confirmation,0,10.0,best_validation,confirmation,ConvWeight_2,32,0.9998865780697,0.9999342807075309,0.9999999934409349,0.0005810725648624719,0
confirmation,0,10.0,best_validation,confirmation,DenseWeight_0,32,0.9999999890945236,0.9999999903891937,0.9999999956533759,5.089664193903481e-05,0
confirmation,1,10.0,reconstructed_initialization,historical,ConvWeight_0,4,0.9988113464705263,0.9989225785318374,0.999666663407097,0.05051422316010004,0
confirmation,1,10.0,reconstructed_initialization,historical,ConvWeight_1,4,0.9992046041914715,0.9992352104482678,0.999492863385919,0.007450672402799043,0
confirmation,1,10.0,reconstructed_initialization,historical,ConvWeight_2,4,0.9994653206472878,0.9994762830927277,0.9995561245285254,0.0020048488319849623,0
confirmation,1,10.0,reconstructed_initialization,historical,DenseWeight_0,4,0.999999964577463,0.9999999647385194,0.9999999708179608,5.687575206138164e-06,0
confirmation,1,10.0,reconstructed_initialization,confirmation,ConvWeight_0,32,0.9687726241114932,0.9949425885226151,0.999327610673497,0.10120775854552053,2
confirmation,1,10.0,reconstructed_initialization,confirmation,ConvWeight_1,32,0.9982049926273078,0.998560570314151,0.9993010944949936,0.02915963027734008,0
confirmation,1,10.0,reconstructed_initialization,confirmation,ConvWeight_2,32,0.9992989627239866,0.9993706871354537,0.9994996846896962,0.002954162882478714,0
confirmation,1,10.0,reconstructed_initialization,confirmation,DenseWeight_0,32,0.9999999535730584,0.9999999578065218,0.9999999695259227,9.186437003415867e-06,0
confirmation,1,10.0,best_validation,historical,ConvWeight_0,4,0.9999918457620258,0.9999930308365153,0.9999997824279677,0.0008238991622732157,0
confirmation,1,10.0,best_validation,historical,ConvWeight_1,4,0.9999931224991013,0.9999934431717703,0.999997000134573,0.0010597436372481847,0
confirmation,1,10.0,best_validation,historical,ConvWeight_2,4,0.9999805450460261,0.9999828916766583,0.9999978995440946,8.234303231453957e-05,0
confirmation,1,10.0,best_validation,historical,DenseWeight_0,4,0.9999999738296317,0.9999999756494562,0.9999999865209164,2.41131580341302e-05,0
confirmation,1,10.0,best_validation,confirmation,ConvWeight_0,32,0.9998431654240791,0.999979714728425,0.9999998295902688,0.01608565950921262,0
confirmation,1,10.0,best_validation,confirmation,ConvWeight_1,32,0.9996878015079916,0.9999832451401728,0.9999998756656756,0.015271823293335368,0
confirmation,1,10.0,best_validation,confirmation,ConvWeight_2,32,0.9981263619858503,0.9999217039794294,0.9999995018190908,0.00817821782379259,0
confirmation,1,10.0,best_validation,confirmation,DenseWeight_0,32,0.9999999172750512,0.9999999755129596,0.9999999909014062,0.00025814537617000697,0
confirmation,2,10.0,reconstructed_initialization,historical,ConvWeight_0,4,0.999859298865549,0.9998726851437653,0.9999665863235272,0.025949460619325758,0
confirmation,2,10.0,reconstructed_initialization,historical,ConvWeight_1,4,0.9997023046700396,0.9997040228516684,0.9997517677614456,0.010157376214958535,0
confirmation,2,10.0,reconstructed_initialization,historical,ConvWeight_2,4,0.9997179243555587,0.999721700224845,0.9997563111662,0.0010012015236795446,0
confirmation,2,10.0,reconstructed_initialization,historical,DenseWeight_0,4,0.9999999935495574,0.9999999936653237,0.999999994887689,2.6900945801078257e-06,0
confirmation,2,10.0,reconstructed_initialization,confirmation,ConvWeight_0,32,0.9926552019011903,0.9983070770259694,0.9999460280420567,0.072714430620934,0
confirmation,2,10.0,reconstructed_initialization,confirmation,ConvWeight_1,32,0.999117851482394,0.9993096785072825,0.9997510963370324,0.024307908902092293,0
confirmation,2,10.0,reconstructed_initialization,confirmation,ConvWeight_2,32,0.9996612614294893,0.9996747994707027,0.9997589825937003,0.0015655623550092878,0
confirmation,2,10.0,reconstructed_initialization,confirmation,DenseWeight_0,32,0.9999999922717756,0.9999999933300324,0.9999999952317739,2.7605302233295773e-06,0
confirmation,2,10.0,best_validation,historical,ConvWeight_0,4,0.999960557248799,0.999965367582408,0.9999948044490261,0.0042094534440627425,0
confirmation,2,10.0,best_validation,historical,ConvWeight_1,4,0.9999860062117903,0.9999873573456559,0.9999960336625291,0.0019865129951171785,0
confirmation,2,10.0,best_validation,historical,ConvWeight_2,4,0.9999761403792601,0.9999795587109386,0.9999990059883821,0.000605370113211017,0
confirmation,2,10.0,best_validation,historical,DenseWeight_0,4,0.9999990700072071,0.9999990945310898,0.9999992853463198,0.0002817523095935134,0
confirmation,2,10.0,best_validation,confirmation,ConvWeight_0,32,0.9999677118757011,0.9999878580003829,0.9999969624223193,0.011605205654358255,0
confirmation,2,10.0,best_validation,confirmation,ConvWeight_1,32,0.9997109835824491,0.9999935278387588,0.9999979897747847,0.004318729297755951,0
confirmation,2,10.0,best_validation,confirmation,ConvWeight_2,32,0.9997914535998357,0.9999929939384037,0.9999991230926949,0.0009386171074587088,0
confirmation,2,10.0,best_validation,confirmation,DenseWeight_0,32,0.9999983475123913,0.9999985894667835,0.9999993981209374,0.00040149563594071353,0
