architecture,scheme,beta,minimum_cosine,maximum_norm_mismatch,maximum_relative_l2_error,limiting_matrix,limiting_checkpoint,limiting_batch,origin
conv2,baseline,100000.0,0.14990728565745623,1.869660520878487,29.24408557806732,ConvWeight_0,reconstructed_initialization,22,original_grid
conv2,legacy,0.0003,0.9999980891674393,0.0008924408937244014,0.002148021524947842,ConvWeight_0,reconstructed_initialization,1,original_grid
conv2,legacy,0.0009,0.9999941514829996,0.0012029178145593607,0.0034238924272894425,ConvWeight_1,reconstructed_initialization,19,original_grid
conv2,legacy,0.003,0.9999647559639329,0.0016464650575307054,0.008395646337165543,ConvWeight_1,best_validation,11,original_grid
conv2,legacy,0.009,0.9999406321837176,0.003157486476097812,0.010896441707873463,ConvWeight_1,best_validation,11,original_grid
conv2,legacy,0.03,0.99988306225001,0.005051517145770865,0.01606506952466025,ConvWeight_0,reconstructed_initialization,28,original_grid
conv2,legacy,0.06,0.9998118035344828,0.005132495429664965,0.01948341511766851,ConvWeight_0,reconstructed_initialization,1,original_grid
conv2,legacy,0.09,0.9997326582034405,0.00558855860503044,0.02340851885568453,ConvWeight_0,reconstructed_initialization,1,original_grid
conv2,legacy,0.15,0.9995348955657284,0.012036818619591294,0.030522093501489416,ConvWeight_1,best_validation,33,original_grid
conv2,legacy,0.225,0.9992303300247898,0.01565143179642285,0.03927691605231277,ConvWeight_1,best_validation,33,original_grid
conv2,legacy,0.3,0.9990492900333211,0.017400535166388405,0.04366085930101019,ConvWeight_1,best_validation,33,original_grid
conv2,legacy,0.6,0.9987968244798741,0.026864761499382966,0.052685348477839115,ConvWeight_1,best_validation,33,original_grid
conv2,legacy,0.9,0.99864182473412,0.028916985576400513,0.05746797110163,ConvWeight_1,best_validation,14,original_grid
conv2,legacy,1.5,0.9977708352162538,0.028486616216075202,0.06689650790378113,ConvWeight_1,best_validation,14,original_grid
conv2,legacy,2.25,0.996356401331337,0.04830074377711316,0.08611935098803049,ConvWeight_0,reconstructed_initialization,32,original_grid
conv2,legacy,3.0,0.9936167446855392,0.0725117383316854,0.11658930988114277,ConvWeight_1,best_validation,24,original_grid
conv2,legacy,9.0,0.9830576592455187,0.10963388698852473,0.18580479756219742,ConvWeight_1,best_validation,24,original_grid
conv2,legacy,30.0,0.9549346039777359,0.1279255137636289,0.29710412398202823,ConvWeight_0,reconstructed_initialization,11,original_grid
conv2,legacy,31.3824575593,0.9517883102234617,0.1305187932561745,0.30705248013730857,ConvWeight_0,reconstructed_initialization,11,refined_grid
conv2,legacy,32.8286214154,0.9480079943325288,0.13216131096000483,0.3185452911558963,ConvWeight_0,reconstructed_initialization,11,refined_grid
conv2,legacy,34.3414272766,0.9428445029624491,0.1340061544978027,0.3334841724154143,ConvWeight_0,reconstructed_initialization,11,refined_grid
conv2,legacy,35.9239461345,0.9366897402001259,0.13568374621480833,0.3503494389975352,ConvWeight_0,reconstructed_initialization,11,refined_grid
conv2,legacy,37.5793904976,0.928743483203906,0.13748198258882935,0.370819098713504,ConvWeight_0,reconstructed_initialization,11,refined_grid
conv2,legacy,39.3111209131,0.920580126831711,0.14129689753874045,0.39058013528216856,ConvWeight_0,reconstructed_initialization,11,refined_grid
conv2,legacy,41.1226527888,0.9125443559980301,0.14477305559171927,0.4089777648576545,ConvWeight_0,reconstructed_initialization,11,refined_grid
conv2,legacy,43.017663529,0.9029984573460084,0.14870175184699777,0.4296960530323564,ConvWeight_0,reconstructed_initialization,11,refined_grid
conv2,legacy,45.0,0.8934131223788155,0.15258782301683438,0.4494592428707107,ConvWeight_0,reconstructed_initialization,11,refined_grid
conv2,legacy,67.5,0.7924289023383243,0.20913340379941234,0.6243443307403064,ConvWeight_0,reconstructed_initialization,11,refined_grid
conv2,legacy,101.25,0.7368880499456344,0.2509690650176621,0.7181684216441462,ConvWeight_0,reconstructed_initialization,11,refined_grid
conv2,legacy,151.875,0.695687869008921,0.3154500224141725,0.7883374247758047,ConvWeight_0,reconstructed_initialization,11,refined_grid
conv2,legacy,227.8125,0.6708248949206955,0.3940114475336151,0.837630741576026,ConvWeight_0,reconstructed_initialization,11,refined_grid
conv2,legacy,341.71875,0.6444064176368156,0.5909828722687086,1.2528625743514306,ConvWeight_0,reconstructed_initialization,11,refined_grid
conv2,ours,0.1,0.999928801868249,0.004596867896003354,0.01194122359288585,ConvWeight_1,reconstructed_initialization,33,original_grid
conv2,ours,0.3,0.9990076190940329,0.008808553590076564,0.04464336742591373,ConvWeight_1,best_validation,11,original_grid
conv2,ours,1.0,0.998226185539822,0.015993964604206646,0.059572773905712126,ConvWeight_1,best_validation,11,original_grid
conv2,ours,3.0,0.9962008821619851,0.03182574361055358,0.08717814866759467,ConvWeight_0,reconstructed_initialization,11,original_grid
conv2,ours,10.0,0.9919642906368703,0.05349493467483107,0.12654433172406185,ConvWeight_0,reconstructed_initialization,11,original_grid
conv2,ours,20.0,0.9774593713685961,0.09592053367066887,0.237889797756342,ConvWeight_0,reconstructed_initialization,26,original_grid
conv2,ours,30.0,0.9610444888939575,0.12272410376341163,0.3206273438468239,ConvWeight_0,reconstructed_initialization,26,original_grid
conv2,ours,32.6660066636,0.9558172820126938,0.12781159521845764,0.344311190323715,ConvWeight_0,reconstructed_initialization,26,refined_grid
conv2,ours,34.086580994,0.9530310515465845,0.131888811718808,0.3565661693866361,ConvWeight_0,reconstructed_initialization,26,refined_grid
conv2,ours,35.5689330449,0.9497921066658709,0.13825044068130563,0.37065673333493016,ConvWeight_0,reconstructed_initialization,26,refined_grid
conv2,ours,38.7298334621,0.9441766182357209,0.1483951692345079,0.3939983676586836,ConvWeight_0,reconstructed_initialization,26,refined_grid
conv2,ours,42.1716332651,0.9394116145526263,0.15704232011201041,0.4133674468481985,ConvWeight_0,reconstructed_initialization,26,refined_grid
conv2,ours,45.9192951084,0.9339352321975642,0.16670314617476178,0.43500857932096254,ConvWeight_0,reconstructed_initialization,26,refined_grid
conv2,ours,50.0,0.9290876959546426,0.173501899663429,0.4526173583721235,ConvWeight_0,reconstructed_initialization,26,original_grid
conv2,ours,54.2235885599,0.9241763543300576,0.17978530603236428,0.4686123817590515,ConvWeight_0,reconstructed_initialization,11,refined_grid
conv2,ours,58.8039511262,0.9128739957476056,0.18467575597079952,0.48141028679491193,ConvWeight_0,reconstructed_initialization,11,refined_grid
conv2,ours,63.7712250313,0.9029533048271864,0.1843519237425315,0.4870784805293221,ConvWeight_0,reconstructed_initialization,11,refined_grid
conv2,ours,66.4100619972,0.8984039475680493,0.181072640686098,0.48468839994425394,ConvWeight_0,reconstructed_initialization,11,refined_grid
conv2,ours,69.1580933611,0.8924453251267914,0.17725460385319222,0.4812034450981464,ConvWeight_0,reconstructed_initialization,11,refined_grid
conv2,ours,75.0,0.8821279961384865,0.17849719719155957,0.47730446680811994,ConvWeight_0,reconstructed_initialization,11,original_grid
conv2,ours,100.0,0.8530649780546985,0.1600865852193533,0.5239958501905461,ConvWeight_0,reconstructed_initialization,11,original_grid
conv2,ours,200.0,0.7626598597199177,0.28092054536632544,0.6536971780392477,ConvWeight_0,reconstructed_initialization,21,original_grid
conv2,ours,300.0,0.655850993039035,0.427320794772051,0.780752202164437,ConvWeight_0,reconstructed_initialization,21,original_grid
conv2,ours,500.0,0.5296668130612942,0.6447961375236992,1.3830896924621017,ConvWeight_0,reconstructed_initialization,21,original_grid
conv2,ours,750.0,0.4631512609065663,0.9352777021265847,2.2379810434964935,ConvWeight_0,reconstructed_initialization,21,original_grid
conv2,ours,1000.0,0.424530067897285,1.1302023366276097,3.1037493937984135,ConvWeight_0,reconstructed_initialization,22,original_grid
conv2,ours,3000.0,0.2162594191655576,1.6536682507921647,10.098153681906739,ConvWeight_0,reconstructed_initialization,22,original_grid
