interpretation,architecture,scheme,injected_beta,seed,training_sigma,epochs,state,existing_bundle,existing_tracker,existing_plan
historical_conv1,conv3,baseline,147.682614594,0,0.0003,30,missing,,,
historical_conv1,conv3,baseline,147.682614594,0,0.0005,30,missing,,,
historical_conv1,conv3,ours,2.49274796756,0,0,30,already_declared_unverified,,,docs/eqprop_conv3_p95_read_noise_1em3_plan_20260921.md
historical_conv1,conv3,ours,2.49274796756,1,0,30,missing,,,
historical_conv1,conv3,ours,2.49274796756,2,0,30,missing,,,
historical_conv1,conv3,ours,2.49274796756,0,1e-05,30,missing,,,
historical_conv1,conv3,ours,2.49274796756,0,3e-05,30,missing,,,
historical_conv1,conv3,ours,2.49274796756,0,0.0001,30,missing,,,
historical_conv1,conv3,ours,2.49274796756,0,0.0003,30,missing,,,
historical_conv1,conv3,ours,2.49274796756,0,0.0005,30,missing,,,
historical_conv1,conv3,legacy,2.81845428732,0,0,30,already_declared_unverified,,,docs/eqprop_conv3_p95_read_noise_1em3_plan_20260921.md
historical_conv1,conv3,legacy,2.81845428732,1,0,30,missing,,,
historical_conv1,conv3,legacy,2.81845428732,2,0,30,missing,,,
historical_conv1,conv3,legacy,2.81845428732,0,1e-05,30,missing,,,
historical_conv1,conv3,legacy,2.81845428732,0,3e-05,30,missing,,,
historical_conv1,conv3,legacy,2.81845428732,0,0.0001,30,missing,,,
historical_conv1,conv3,legacy,2.81845428732,0,0.0003,30,missing,,,
historical_conv1,conv3,legacy,2.81845428732,0,0.0005,30,missing,,,
