phase,architecture,model_seed,injected_beta,checkpoint_role,cohort,parameter_name,count,minimum_cosine,fifth_percentile_cosine,median_cosine,maximum_norm_delta,cosine_failures,norm_failures,combined_failures
confirmation,conv2,1,100.0,reconstructed_initialization,historical,ConvWeight_0,4,0.9984799015810455,0.9985636582322308,0.9990452963087975,0.02430943751262045,0,0,0
confirmation,conv2,1,100.0,reconstructed_initialization,historical,ConvWeight_1,4,0.9979049636520416,0.997957996614053,0.9983416547020716,0.009570941234196502,0,0,0
confirmation,conv2,1,100.0,reconstructed_initialization,historical,DenseWeight_0,4,0.9999913928323018,0.9999916493440163,0.9999933309197737,0.0001274977006326034,0,0,0
confirmation,conv2,1,100.0,reconstructed_initialization,confirmation,ConvWeight_0,32,0.9940655003498763,0.9967736688421706,0.9990965524570803,0.0555683063614808,0,0,0
confirmation,conv2,1,100.0,reconstructed_initialization,confirmation,ConvWeight_1,32,0.9975871332589158,0.9978311187629303,0.9981741714011366,0.010164259597237485,0,0,0
confirmation,conv2,1,100.0,reconstructed_initialization,confirmation,DenseWeight_0,32,0.9999909621075791,0.9999918979903387,0.9999933108857457,0.00014076595059345196,0,0,0
confirmation,conv2,1,100.0,best_validation,historical,ConvWeight_0,4,0.9998385935352396,0.9998472893372348,0.9999040115739348,0.003943185831444251,0,0,0
confirmation,conv2,1,100.0,best_validation,historical,ConvWeight_1,4,0.9996839797053777,0.9996847824077909,0.9997976207600221,0.000777938099250325,0,0,0
confirmation,conv2,1,100.0,best_validation,historical,DenseWeight_0,4,0.9999999816199364,0.9999999834254649,0.9999999962605077,3.817156824536335e-05,0,0,0
confirmation,conv2,1,100.0,best_validation,confirmation,ConvWeight_0,32,0.9994641879764937,0.9995848931562981,0.9999269152403071,0.017691986688941036,0,0,0
confirmation,conv2,1,100.0,best_validation,confirmation,ConvWeight_1,32,0.9983929341524329,0.9992469720819271,0.9997628015834968,0.007909741574978523,0,0,0
confirmation,conv2,1,100.0,best_validation,confirmation,DenseWeight_0,32,0.9999999066461142,0.9999999476977667,0.999999994264487,5.35749653993349e-05,0,0,0
confirmation,conv2,2,100.0,reconstructed_initialization,historical,ConvWeight_0,4,0.9974529323576731,0.9974864118551096,0.9977974195150431,0.04905686841297932,0,0,0
confirmation,conv2,2,100.0,reconstructed_initialization,historical,ConvWeight_1,4,0.9984360877989368,0.9984869575602588,0.9988102512029606,0.005177807885915707,0,0,0
confirmation,conv2,2,100.0,reconstructed_initialization,historical,DenseWeight_0,4,0.9999990340864924,0.999999046377534,0.9999991307628577,5.223061092944994e-05,0,0,0
confirmation,conv2,2,100.0,reconstructed_initialization,confirmation,ConvWeight_0,32,0.9965039161124329,0.9971447786192041,0.9988309796726578,0.060712135349853216,0,0,0
confirmation,conv2,2,100.0,reconstructed_initialization,confirmation,ConvWeight_1,32,0.998299076564457,0.9983847528884303,0.9988546483455221,0.005781590170305647,0,0,0
confirmation,conv2,2,100.0,reconstructed_initialization,confirmation,DenseWeight_0,32,0.9999989388876427,0.9999989738404054,0.9999991684943081,6.346165323001538e-05,0,0,0
confirmation,conv2,2,100.0,best_validation,historical,ConvWeight_0,4,0.998899406385037,0.9990518739653848,0.999922462928178,0.002473641002666363,0,0,0
confirmation,conv2,2,100.0,best_validation,historical,ConvWeight_1,4,0.9972313145010311,0.9975807250295146,0.9996544843089123,0.0054317158853779655,0,0,0
confirmation,conv2,2,100.0,best_validation,historical,DenseWeight_0,4,0.9999999586912429,0.9999999611471408,0.999999985320198,4.907296870080146e-05,0,0,0
confirmation,conv2,2,100.0,best_validation,confirmation,ConvWeight_0,32,0.9990354352945469,0.9994569953345569,0.9999345550750468,0.019173155104996068,0,0,0
confirmation,conv2,2,100.0,best_validation,confirmation,ConvWeight_1,32,0.9983001374811524,0.9991478450516182,0.999771178428077,0.003106190980836715,0,0,0
confirmation,conv2,2,100.0,best_validation,confirmation,DenseWeight_0,32,0.9999998792374806,0.9999999285911071,0.9999999952319172,0.00010913769876993952,0,0,0
confirmation,conv1,0,300.0,reconstructed_initialization,historical,ConvWeight_0,4,0.9994598157379042,0.9994741354410922,0.9995804269854293,0.005865026316683501,0,0,0
confirmation,conv1,0,300.0,reconstructed_initialization,historical,DenseWeight_0,4,0.9999995810770966,0.9999995877244701,0.9999996280008375,1.2662142020484948e-05,0,0,0
confirmation,conv1,0,300.0,reconstructed_initialization,confirmation,ConvWeight_0,32,0.9991694265099987,0.9993378635966939,0.9995473763735084,0.007806717686085234,0,0,0
confirmation,conv1,0,300.0,reconstructed_initialization,confirmation,DenseWeight_0,32,0.9999995669117936,0.9999995717385848,0.9999996405421518,1.7627255087677773e-05,0,0,0
confirmation,conv1,0,300.0,best_validation,historical,ConvWeight_0,4,0.9957003025442507,0.9957591537157315,0.9964349987635415,0.01355638233740054,0,0,0
