architecture,scheme,layer_index,state_layer,kind,element_count,sum_squared_delta,pooled_rms,signed_mean,mean_absolute_delta,batch_rms_n_defined,batch_rms_mean,batch_rms_median,batch_rms_p10,batch_rms_p90,batch_rms_std,rms_over_output_rms
conv2,baseline,2,Output,centered_halfspan,11520,91.28445647886015,0.08901684086864906,-3.228215691937305e-05,0.052383489741837146,36,0.08769176087640046,0.08522171911369901,0.07180760943540335,0.10481646597163302,0.015519121085846913,1.0
conv2,baseline,2,Output,negative_minus_free,11520,91.28323327502977,0.08901624445766253,3.1864233753784157e-05,0.052383464599364486,36,0.08769134749776032,0.08521825135070027,0.07180801233395945,0.10481256692842514,0.015518004887817604,1.0
conv2,baseline,2,Output,negative_minus_matched_zero,11520,91.28325102778346,0.08901625311359708,3.180851816888872e-05,0.052383469511386206,36,0.08769135676428211,0.08521825586244083,0.07180800821217027,0.1048125845535043,0.015518002098983102,1.0
conv2,baseline,2,Output,positive_minus_free,11520,91.2856913195691,0.08901744294950373,-3.270008008496185e-05,0.05238351488430979,36,0.08769217933432107,0.08522518959486144,0.07180720676047897,0.10482036767816857,0.015520241146097142,1.0
conv2,baseline,2,Output,positive_minus_matched_zero,11520,91.28567356669166,0.08901743429362453,-3.275579566985758e-05,0.052383509972288064,36,0.08769217006725705,0.08522518508333642,0.07180721088174202,0.10482035005502104,0.015520243937829846,1.0
conv2,baseline,2,Output,zero_nudge_drift,11520,4.116476276163571e-10,1.8903253954905313e-07,5.5715584895733206e-08,1.1828274609381562e-07,36,1.8196133230494998e-07,1.7515876481878673e-07,1.2158367077041978e-07,2.510465793729058e-07,5.1945433994361076e-08,1.0
conv2,legacy,0,H1,centered_halfspan,7225344,4.1515854836997287e-07,2.397053504411688e-07,-4.977278236347987e-09,7.958594576014827e-08,36,2.349165238190464e-07,2.275999178123325e-07,1.8732505288604916e-07,2.885297891898898e-07,4.8351022210604175e-08,8.190718742291835e-06
conv2,legacy,0,H1,negative_minus_free,7225344,4.1662203706321556e-07,2.4012747526040357e-07,6.4444996338016274e-09,7.984536362710078e-08,36,2.3536122935981017e-07,2.2781967797603273e-07,1.87868479638602e-07,2.886242261623923e-07,4.828092176013326e-08,8.205141892738041e-06
conv2,legacy,0,H1,negative_minus_matched_zero,7225344,4.151927397860611e-07,2.3971522100347194e-07,4.9749975060382166e-09,7.958781089697792e-08,36,2.3492589319932314e-07,2.2759991781274676e-07,1.8732514132575508e-07,2.8852978919077107e-07,4.8354532323770524e-08,8.191056020746337e-06
conv2,legacy,0,H1,positive_minus_free,7225344,4.142906730658987e-07,2.394546712840688e-07,-3.5100568388943467e-09,7.945120485005112e-08,36,2.3465656590854005e-07,2.2752944857521842e-07,1.8692408877775236e-07,2.886089654397903e-07,4.837179943721853e-08,8.18215387786859e-06
conv2,legacy,0,H1,positive_minus_matched_zero,7225344,4.1513416827685835e-07,2.3969831201622637e-07,-4.979558966657758e-09,7.95849733092905e-08,36,2.3490991423592386e-07,2.2759991781191826e-07,1.8732497217338695e-07,2.8852978918900845e-07,4.834816207928514e-08,8.190478237814878e-06
conv2,legacy,0,H1,zero_nudge_drift,7225344,2.9285712624398227e-10,6.366469074689185e-09,1.4695021277634117e-09,1.941388812976402e-09,36,6.147586397374441e-09,6.089495516805266e-09,4.248229832359423e-09,7.698565388015796e-09,1.678502383235543e-09,0.0261349705487514
conv2,legacy,1,H2,centered_halfspan,3612672,0.001110057029156514,1.7529049969661944e-05,-7.737262513717396e-08,3.4762623377374406e-06,36,1.7156456140714216e-05,1.6456358364331746e-05,1.360516029868484e-05,2.0447085485264723e-05,3.6459362861903116e-06,0.0005989666807888718
conv2,legacy,1,H2,negative_minus_free,3612672,0.0011100880453185065,1.752929485800616e-05,7.891805645476592e-08,3.4762945360125113e-06,36,1.715670411904448e-05,1.645641468486676e-05,1.3605381857997042e-05,2.044723495393897e-05,3.645947071386848e-06,0.0005989749879042732
conv2,legacy,1,H2,negative_minus_matched_zero,3612672,0.0011100699644456314,1.7529152100751974e-05,7.733440454883222e-08,3.4762441257869704e-06,36,1.715655306814449e-05,1.645635836433116e-05,1.3605160017690422e-05,2.0446982776911657e-05,3.6459722077328372e-06,0.0005989701707400682
