architecture,scheme,checkpoint_role,grouping,cosine_threshold,norm_gate,current_anchor,ratio_to_anchor,selected_beta,upper_edge_open,passing_regions,passing_count
conv2,baseline,best_validation,layerwise,0.9,True,100,30.0,3000.0,False,"[{'low': 1.0, 'high': 3000.0}]",12
conv2,baseline,best_validation,layerwise,0.95,True,100,30.0,3000.0,False,"[{'low': 1.0, 'high': 3000.0}]",12
conv2,baseline,best_validation,layerwise,0.99,True,100,5.0,500.0,False,"[{'low': 1.0, 'high': 500.0}]",8
conv2,baseline,best_validation,whole_gradient,0.9,False,100,100.0,10000.0,False,"[{'low': 1.0, 'high': 10000.0}]",15
conv2,baseline,best_validation,whole_gradient,0.95,False,100,75.0,7500.0,False,"[{'low': 1.0, 'high': 7500.0}]",14
conv2,baseline,best_validation,whole_gradient,0.99,False,100,10.0,1000.0,False,"[{'low': 1.0, 'high': 1000.0}]",10
conv2,baseline,best_validation,whole_gradient,0.9,True,100,100.0,10000.0,False,"[{'low': 1.0, 'high': 10000.0}]",15
conv2,baseline,best_validation,whole_gradient,0.95,True,100,75.0,7500.0,False,"[{'low': 1.0, 'high': 7500.0}]",14
conv2,baseline,best_validation,whole_gradient,0.99,True,100,10.0,1000.0,False,"[{'low': 1.0, 'high': 1000.0}]",10
conv2,ours,both,layerwise,0.9,False,10,5.0,50.0,False,"[{'low': 0.1, 'high': 50.0}]",8
conv2,ours,both,layerwise,0.95,False,10,3.0,30.0,False,"[{'low': 0.1, 'high': 30.0}]",7
conv2,ours,both,layerwise,0.99,False,10,1.0,10.0,False,"[{'low': 0.1, 'high': 10.0}]",5
conv2,ours,both,layerwise,0.9,True,10,2.0,20.0,False,"[{'low': 0.1, 'high': 20.0}]",6
conv2,ours,both,layerwise,0.95,True,10,2.0,20.0,False,"[{'low': 0.1, 'high': 20.0}]",6
conv2,ours,both,layerwise,0.99,True,10,1.0,10.0,False,"[{'low': 0.1, 'high': 10.0}]",5
conv2,ours,both,whole_gradient,0.9,False,10,20.0,200.0,False,"[{'low': 0.1, 'high': 200.0}]",11
conv2,ours,both,whole_gradient,0.95,False,10,10.0,100.0,False,"[{'low': 0.1, 'high': 100.0}]",10
conv2,ours,both,whole_gradient,0.99,False,10,10.0,100.0,False,"[{'low': 0.1, 'high': 100.0}]",10
conv2,ours,both,whole_gradient,0.9,True,10,10.0,100.0,False,"[{'low': 0.1, 'high': 100.0}]",10
conv2,ours,both,whole_gradient,0.95,True,10,10.0,100.0,False,"[{'low': 0.1, 'high': 100.0}]",10
conv2,ours,both,whole_gradient,0.99,True,10,10.0,100.0,False,"[{'low': 0.1, 'high': 100.0}]",10
conv2,ours,reconstructed_initialization,layerwise,0.9,False,10,5.0,50.0,False,"[{'low': 0.1, 'high': 50.0}]",8
conv2,ours,reconstructed_initialization,layerwise,0.95,False,10,3.0,30.0,False,"[{'low': 0.1, 'high': 30.0}]",7
conv2,ours,reconstructed_initialization,layerwise,0.99,False,10,1.0,10.0,False,"[{'low': 0.1, 'high': 10.0}]",5
conv2,ours,reconstructed_initialization,layerwise,0.9,True,10,2.0,20.0,False,"[{'low': 0.1, 'high': 20.0}]",6
conv2,ours,reconstructed_initialization,layerwise,0.95,True,10,2.0,20.0,False,"[{'low': 0.1, 'high': 20.0}]",6
conv2,ours,reconstructed_initialization,layerwise,0.99,True,10,1.0,10.0,False,"[{'low': 0.1, 'high': 10.0}]",5
conv2,ours,reconstructed_initialization,whole_gradient,0.9,False,10,20.0,200.0,False,"[{'low': 0.1, 'high': 200.0}]",11
conv2,ours,reconstructed_initialization,whole_gradient,0.95,False,10,10.0,100.0,False,"[{'low': 0.1, 'high': 100.0}]",10
conv2,ours,reconstructed_initialization,whole_gradient,0.99,False,10,10.0,100.0,False,"[{'low': 0.1, 'high': 100.0}]",10
