architecture,scheme,checkpoint_role,T,K,injected_beta,base_beta,layer_index,state_layer_name,phase,raw_rms,controlled_rms,zero_drift_rms,raw_to_control_ratio,drift_to_control_ratio,response_over_max_T_response,max_reference_T,free_state_rms,free_state_mean,batch_median_drift_to_control,batch_p95_drift_to_control,batch_max_drift_to_control,source_checkpoint_epoch
conv3,baseline,best_validation,8,8,10,10.0,4,Layer_4,negative,0.002043822224209495,0.0020441787175642287,1.688125732688488e-05,0.9998256055834694,0.008258210097696346,1.0000051878739629,24,0.35085425129236303,-0.16420675692752482,0.008622838764881118,0.012554160995031483,0.01290159358308811,24
conv3,legacy,reconstructed_initialization,8,8,0.001,2.44140625e-07,1,Layer_1,positive,1.5459581039112672e-07,3.11014850286815e-09,1.5450637828753e-07,49.70689028146402,49.67813535110805,1.0000000188004983,24,6.826719199606973,-0.004508314883246681,49.764787808033795,62.224089131302335,66.1254403095373,0
conv3,legacy,reconstructed_initialization,8,8,0.001,2.44140625e-07,1,Layer_1,negative,1.544797740579811e-07,3.110496006010327e-09,1.5450637828753e-07,49.66403228278835,49.67258533332997,1.0000000170734853,24,6.826719199606973,-0.004508314883246681,49.76779133379742,62.206136000496336,66.06886661021251,0
conv3,legacy,reconstructed_initialization,8,8,0.001,2.44140625e-07,2,Layer_2,positive,3.593256546621852e-07,5.817448151928736e-08,3.5397377053932346e-07,6.176688563060991,6.084691453966218,1.0000000139966652,24,0.4142620072812401,-0.011080048109688233,6.051277061763419,7.66009313014737,8.43549000085781,0
conv3,legacy,reconstructed_initialization,8,8,0.001,2.44140625e-07,2,Layer_2,negative,3.581208938680585e-07,5.8177163757091417e-08,3.5397377053932346e-07,6.155695306208631,6.084410921393127,1.0000000138485792,24,0.4142620072812401,-0.011080048109688233,6.051554045087204,7.659570181425794,8.43196121511301,0
conv3,legacy,reconstructed_initialization,8,8,0.001,2.44140625e-07,3,Layer_3,positive,1.2615617530559347e-05,1.22509828940815e-05,3.002467367118244e-06,1.0297637046456087,0.2450797126301391,1.0000000107682263,24,0.3715515643350375,0.02642910261113992,0.24330173754030493,0.30973768861736045,0.349202378360246,0
conv3,legacy,reconstructed_initialization,8,8,0.001,2.44140625e-07,3,Layer_3,negative,1.261148827241932e-05,1.2251009374309555e-05,3.002467367118244e-06,1.0294244243144317,0.24507918289691602,1.0000000107700535,24,0.3715515643350375,0.02642910261113992,0.24330044689664942,0.3097368524261118,0.3492050761777903,0
conv3,legacy,reconstructed_initialization,8,8,0.001,2.44140625e-07,4,Layer_4,positive,0.04601387011170128,0.04601386916541717,7.828787102057334e-06,1.000000020565193,0.00017013972621848647,1.0000000102997193,24,0.3840264439359509,0.10793948618248732,0.0001683666121599058,0.0002157736262687009,0.000243113271801936,0
conv3,legacy,reconstructed_initialization,8,8,0.001,2.44140625e-07,4,Layer_4,negative,0.04601386958889244,0.046013869203172374,7.828787102057334e-06,1.0000000083826914,0.0001701397260788838,1.00000001029972,24,0.3840264439359509,0.10793948618248732,0.0001683666117567173,0.0002157736254981005,0.00024311327269759488,0
conv3,legacy,best_validation,8,8,0.001,2.44140625e-07,1,Layer_1,positive,3.386023963667671e-10,2.402182527460198e-10,2.458364336174182e-10,1.4095614820942346,1.0233878183992058,1.0000000000687486,24,24.851043594333323,-1.1918087610150112,0.7811883399437392,1.9942543847775234,3.0338164823167357,27
conv3,legacy,best_validation,8,8,0.001,2.44140625e-07,1,Layer_1,negative,3.487542314252983e-10,2.4021865898166415e-10,2.458364336174182e-10,1.4518199081775685,1.0233860877400986,1.0000000006251495,24,24.851043594333323,-1.1918087610150112,0.7811884199860166,1.9942545972670958,3.0338167898278177,27
conv3,legacy,best_validation,8,8,0.001,2.44140625e-07,2,Layer_2,positive,6.469193895438119e-09,6.468410295078607e-09,3.0733012614059294e-10,1.0001211426492393,0.047512466297077734,1.0000000001791278,24,4.530963059641786,-0.07911287201308483,0.03183576806143702,0.08849161851237436,0.17764476904331897,27
conv3,legacy,best_validation,8,8,0.001,2.44140625e-07,2,Layer_2,negative,6.482221041888553e-09,6.4684172092200846e-09,3.0733012614059294e-10,1.0021340356105652,0.04751241551063287,1.00000000015411,24,4.530963059641786,-0.07911287201308483,0.03183576826973707,0.0884916195440957,0.17764476993860331,27
conv3,legacy,best_validation,8,8,0.001,2.44140625e-07,3,Layer_3,positive,8.633681904410466e-07,8.633703437667601e-07,3.4056487671822703e-09,0.9999975059072517,0.0039445978099316185,0.9999999996601626,24,0.486814839532758,-0.03500706074203901,0.002651542041333865,0.006902050996091023,0.016032343839931483,27
conv3,legacy,best_validation,8,8,0.001,2.44140625e-07,3,Layer_3,negative,8.633853619875564e-07,8.633697748709499e-07,3.4056487671822703e-09,1.0000180538131633,0.003944600409125188,0.999999999659768,24,0.486814839532758,-0.03500706074203901,0.0026515420414504887,0.006902050996004989,0.01603234384006595,27
conv3,legacy,best_validation,8,8,0.001,2.44140625e-07,4,Layer_4,positive,0.007874015342995628,0.007874015370319393,6.7454497697894405e-09,0.9999999965298817,8.566721618573403e-07,0.9999999996596005,24,0.3928826597485358,-0.1173215456653888,5.078431776426107e-07,1.496189844149992e-06,3.846201570754477e-06,27
conv3,legacy,best_validation,8,8,0.001,2.44140625e-07,4,Layer_4,negative,0.007874015396143932,0.007874015368814389,6.7454497697894405e-09,1.000000003470852,8.566721620210809e-07,0.9999999996596012,24,0.3928826597485358,-0.1173215456653888,5.078431776426121e-07,1.4961898560495805e-06,3.846201570754487e-06,27
conv2,legacy,reconstructed_initialization,6,6,0.03,0.0001171875,1,Layer_1,positive,2.699773384173713e-06,9.052114118041568e-07,2.518673698592469e-06,2.982478290671186,2.782414876512169,1.0000006612858245,16,1.8994430154087107,-0.0010809581401316276,2.76099726031735,3.1610026042199695,3.2681134059911336,0
conv2,legacy,reconstructed_initialization,6,6,0.03,0.0001171875,1,Layer_1,negative,2.6529167935364504e-06,9.051387720649621e-07,2.518673698592469e-06,2.9309503419946856,2.7826381725383684,1.0000006625668418,16,1.8994430154087107,-0.0010809581401316276,2.761209988559788,3.161747685723457,3.2673419320510138,0
